,BC_ID,H_0,H_24,H_48,H_72,H_96,Mut_ID,Strain,Environment
66,445,-4.886011044,-5.744218325,NA,-5.381787521,-6.344631954,120,DivAnc,SC_3.0
67,447,-5.731109084,-6.443188329,NA,-6.460968767,NA,648,DivAnc,SC_3.0
68,472,-3.056247944,-2.911709412,-2.926159451,-2.84565011,-2.708244368,364,DivAnc,SC_3.0
69,542,NA,NA,-5.858125566,-6.460968767,-6.043601958,726,DivAnc,SC_3.0
70,554,NA,-6.443188329,NA,NA,NA,388,DivAnc,SC_3.0
71,556,-5.25398783,-6.443188329,-6.159155561,NA,-5.867510699,4,DivAnc,SC_3.0
72,562,-5.430079089,NA,NA,-5.983847512,-6.344631954,834,DivAnc,SC_3.0
73,578,-3.419355223,-3.397865351,-3.472519292,-3.596457686,-3.728681902,2,DivAnc,SC_3.0
74,593,-5.430079089,NA,NA,NA,-6.344631954,593,DivAnc,SC_3.0
75,600,-2.845182745,-2.915300763,-2.802556126,-2.884051811,-3.002801897,512,DivAnc,SC_3.0
76,606,-3.406826629,-3.398648569,-3.273794341,-3.235142775,-3.294639097,960,DivAnc,SC_3.0
77,609,-2.994712582,-2.882086946,-3.011479237,-2.994546044,-2.986506669,622,DivAnc,SC_3.0
78,610,-3.083726114,-2.952247124,-2.812802587,-2.80544617,-2.749797598,125,DivAnc,SC_3.0
79,618,-5.430079089,-6.443188329,NA,NA,NA,318,DivAnc,SC_3.0
80,627,NA,NA,NA,NA,-6.344631954,283,DivAnc,SC_3.0
81,628,-5.129049093,-6.142158334,-6.159155561,NA,NA,212,DivAnc,SC_3.0
82,635,-5.430079089,-6.443188329,-5.858125566,-6.159938771,NA,757,DivAnc,SC_3.0
83,637,-4.776866575,-6.142158334,-5.314057521,-5.615870727,-5.645661949,983,DivAnc,SC_3.0
84,639,-5.731109084,-6.443188329,NA,NA,-6.344631954,687,DivAnc,SC_3.0
85,640,NA,NA,-4.451585385,-6.460968767,NA,855,DivAnc,SC_3.0
86,643,NA,NA,NA,NA,-6.344631954,753,DivAnc,SC_3.0
87,671,NA,NA,NA,-6.460968767,NA,162,DivAnc,SC_3.0
88,673,NA,NA,-6.159155561,NA,NA,474,DivAnc,SC_3.0
89,674,NA,NA,-6.159155561,NA,NA,266,DivAnc,SC_3.0
90,675,-5.25398783,-5.401795644,NA,NA,NA,695,DivAnc,SC_3.0
91,682,-3.425757715,-3.628275148,-3.77894432,-3.851374358,-3.844944871,474,DivAnc,SC_3.0
92,694,-5.25398783,-6.443188329,-6.159155561,-5.983847512,NA,985,DivAnc,SC_3.0
93,698,NA,-6.443188329,-6.159155561,-6.159938771,-6.043601958,376,DivAnc,SC_3.0
94,705,NA,NA,NA,-6.460968767,NA,416,DivAnc,SC_3.0
95,710,-5.731109084,NA,NA,NA,NA,792,DivAnc,SC_3.0
96,722,-3.044472815,-3.003066726,-3.05535184,-2.931666769,-2.918771809,48,DivAnc,SC_3.0
97,741,-5.731109084,NA,-6.159155561,NA,NA,684,DivAnc,SC_3.0
98,744,-5.731109084,NA,NA,-6.460968767,NA,569,DivAnc,SC_3.0
99,753,NA,-5.966067075,NA,-6.159938771,NA,453,DivAnc,SC_3.0
100,787,-5.731109084,-6.443188329,NA,-6.460968767,NA,3,DivAnc,SC_3.0
101,800,-4.25398783,-5.062977088,-4.71199753,-4.892767043,-5.168540695,639,DivAnc,SC_3.0
102,810,-4.952957834,NA,NA,NA,NA,237,DivAnc,SC_3.0
103,814,-5.731109084,-6.443188329,-6.159155561,NA,NA,960,DivAnc,SC_3.0
104,849,-3.623899115,-3.621674801,-3.744182213,-3.656148088,-3.683766476,996,DivAnc,SC_3.0
105,854,-5.25398783,-6.142158334,-5.858125566,-5.858908775,NA,536,DivAnc,SC_3.0
106,873,NA,NA,NA,NA,-6.344631954,313,DivAnc,SC_3.0
107,883,-3.203479184,-3.033424225,-3.108775805,-3.151338599,-3.048845014,209,DivAnc,SC_3.0
108,884,-3.238348695,-3.099779736,-2.966588108,-2.884973147,-2.948083916,958,DivAnc,SC_3.0
